OrderID,CustomerName,CustomerEmail,PurchaseDetailsJSON,LogFileName,StatusMessage
21,Henry King,henry.king@email.com,"{""item"": ""Keyboard"", ""qty"": 1, ""price"": 1842.58}",error_2024-12-15.txt,SUCCESS: Order processed
22,Dave Green,dave.green@mail.org,"{""item"": ""Desk"", ""qty"": 4, ""price"": 259.12}",error_2024-12-02.txt,SUCCESS: Order processed
23,Alice Smith,alice.smith[at]email.com,"{""item"": ""Laptop"", ""qty"": 2, ""price"": 1939.09}",error_2024-12-02.txt,SUCCESS: Order processed
24,Dave Green,dave.green[at]email.com,"{""item"": ""Desk"", ""qty"": 4, ""price"": 667.1}",log_2024-12-22.txt,WARNING: Address incomplete
25,Dave Green,dave.green@email.com,"{""item"": ""Mouse"", ""qty"": 3, ""price"": 1459.31}",log_2024-12-24.txt,ERROR: Payment failed
26,Alice Smith,alice.smith[at]email.com,"{""item"": ""Keyboard"", ""qty"": 4, ""price"": 49.68}",error_2024-12-27.txt,WARNING: Address incomplete
27,Grace Hall,grace.hall@mailorg,"{""item"": ""Keyboard"", ""qty"": 3, ""price"": 86.17}",error_2024-12-23.txt,SUCCESS: Order processed
28,Clara White,clara.white@mailorg,"{""item"": ""Monitor"", ""qty"": 1, ""price"": 1538.07}",error_2024-12-30.txt,ERROR: Payment failed
29,Clara White,clara.white@examplenet,"{""item"": ""Laptop"", ""qty"": 2, ""price"": 51.37}",error_2024-12-12.txt,ERROR: Payment failed
30,Jack Lee,jack.lee@examplenet,"{""item"": ""Keyboard"", ""qty"": 3, ""price"": 296.16}",error_2024-12-06.txt,ERROR: Payment failed
31,Dave Green,dave.green@emailcom,"{""item"": ""Phone"", ""qty"": 2, ""price"": 986.43}",error_2024-12-28.txt,ERROR: Payment failed
32,Henry King,henry.king@email.com,"{""item"": ""Printer"", ""qty"": 4, ""price"": 1563.68}",log_2024-12-05.txt,WARNING: Address incomplete
33,Grace Hall,grace.hall@email.com,"{""item"": ""Printer"", ""qty"": 5, ""price"": 570.79}",log_2024-12-26.txt,SUCCESS: Order processed
34,Bob Jones,bob.jones@example.net,"{""item"": ""Laptop"", ""qty"": 1, ""price"": 237.87}",error_2024-12-15.txt,SUCCESS: Order processed
35,Dave Green,dave.green[at]email.com,"{""item"": ""Printer"", ""qty"": 1, ""price"": 1449.13}",error_2024-12-16.txt,WARNING: Address incomplete
36,Henry King,henry.king@mail.org,"{""item"": ""Monitor"", ""qty"": 3, ""price"": 207.33}",error_2024-12-24.txt,ERROR: Payment failed
37,Clara White,clara.white@mailorg,"{""item"": ""Chair"", ""qty"": 3, ""price"": 170.12}",log_2024-12-27.txt,WARNING: Address incomplete
38,Bob Jones,bob.jones[at]email.com,"{""item"": ""Tablet"", ""qty"": 5, ""price"": 874.56}",log_2024-12-19.txt,ERROR: Payment failed
39,Ivy Scott,ivy.scott@examplenet,"{""item"": ""Tablet"", ""qty"": 3, ""price"": 621.98}",error_2024-12-12.txt,SUCCESS: Order processed
40,Grace Hall,grace.hall[at]mail.org,"{""item"": ""Printer"", ""qty"": 3, ""price"": 1926.12}",log_2024-12-08.txt,WARNING: Address incomplete
41,Jack Lee,jack.lee@mailorg,"{""item"": ""Phone"", ""qty"": 1, ""price"": 1668.93}",log_2024-12-27.txt,SUCCESS: Order processed
42,Frank Moore,frank.moore@mail.org,"{""item"": ""Tablet"", ""qty"": 5, ""price"": 924.81}",error_2024-12-08.txt,SUCCESS: Order processed
43,Alice Smith,alice.smith@emailcom,"{""item"": ""Laptop"", ""qty"": 4, ""price"": 1980.06}",error_2024-12-16.txt,SUCCESS: Order processed
44,Alice Smith,alice.smith@mail.org,"{""item"": ""Desk"", ""qty"": 4, ""price"": 173.56}",error_2024-12-06.txt,SUCCESS: Order processed
45,Bob Jones,bob.jones[at]mail.org,"{""item"": ""Desk"", ""qty"": 1, ""price"": 1185.08}",error_2024-12-19.txt,SUCCESS: Order processed
46,Clara White,clara.white[at]example.net,"{""item"": ""Chair"", ""qty"": 5, ""price"": 30.55}",error_2024-12-03.txt,ERROR: Payment failed
47,Alice Smith,alice.smith@mail.org,"{""item"": ""Printer"", ""qty"": 4, ""price"": 1931.88}",error_2024-12-20.txt,SUCCESS: Order processed
48,Frank Moore,frank.moore[at]email.com,"{""item"": ""Camera"", ""qty"": 1, ""price"": 1379.43}",error_2024-12-28.txt,WARNING: Address incomplete
49,Ivy Scott,ivy.scott@mail.org,"{""item"": ""Chair"", ""qty"": 1, ""price"": 817.95}",error_2024-12-25.txt,SUCCESS: Order processed
50,Frank Moore,frank.moore@example.net,"{""item"": ""Keyboard"", ""qty"": 5, ""price"": 1211.0}",error_2024-12-19.txt,SUCCESS: Order processed
